0.625	-0.000342
0.626	0.00027
0.627	0.000895
0.628	0.00185
0.629	0.003648
0.63	0.007197
0.631	0.014515
0.632	0.030432
0.633	0.066861
0.634	0.148518
0.635	0.299778
0.636	0.526812
0.637	0.764443
0.638	0.905473
0.639	0.947949
0.64	0.950823
0.641	0.947418
0.642	0.951831
0.643	0.962705
0.644	0.975075
0.645	0.984173
0.646	0.983613
0.647	0.983434
0.648	0.982911
0.649	0.973636
0.65	0.959441
0.651	0.955641
0.652	0.955548
0.653	0.953337
0.654	0.956628
0.655	0.981688
0.656	1
0.657	0.992388
0.658	0.984615
0.659	0.981568
0.66	0.97696
0.661	0.97298
0.662	0.98108
0.663	0.996804
0.664	0.992142
0.665	0.980678
0.666	0.964002
0.667	0.962154
0.668	0.970778
0.669	0.96718
0.67	0.966928
0.671	0.949928
0.672	0.848855
0.673	0.609359
0.674	0.31635
0.675	0.123946
0.676	0.046033
0.677	0.017702
0.678	0.007333
0.679	0.003205
0.68	0.001402
0.681	0.000554
0.682	0.000117
0.683	-0.000122
0.684	-0.000289
0.685	-0.000376
0.686	-0.000396
0.687	-0.000458
0.688	-0.000488
0.689	-0.000457
0.69	-0.000429
0.691	-0.000417
